geoid,geoid20,year,denom_renters,med_gross_rent,med_gross_rent_adj
1400000US06037190302,6037190302,2021,1008,1800,1884.8533
1400000US06037190303,6037190303,2021,1688,1196,1252.3802
1400000US06037190401,6037190401,2021,1622,1516,1587.4653
1400000US06037190402,6037190402,2021,1226,1637,1714.1693
1400000US06037190510,6037190510,2021,1595,1564,1637.728
1400000US06037190520,6037190520,2021,1387,1397,1462.8556
1400000US06037190701,6037190701,2021,758,1300,1361.283
1400000US06037190702,6037190702,2021,640,1631,1707.8865
1400000US06037190801,6037190801,2021,1172,1252,1311.0201
1400000US06037190802,6037190802,2021,1265,1616,1692.1793
1400000US06037190901,6037190901,2021,1120,1295,1356.0472
1400000US06037190902,6037190902,2021,1447,1486,1556.051
1400000US06037191000,6037191000,2021,2829,2132,2232.5039
1400000US06037191110,6037191110,2021,979,1161,1215.7303
1400000US06037191120,6037191120,2021,1468,1274,1334.0573
1400000US06037191201,6037191201,2021,1613,1349,1412.5928
1400000US06037191203,6037191203,2021,990,1297,1358.1415
1400000US06037191204,6037191204,2021,648,1369,1433.5356
1400000US06037191301,6037191301,2021,778,1418,1484.8455
1400000US06037191302,6037191302,2021,718,1494,1564.4282
1400000US06037191410,6037191410,2021,1323,1185,1240.8617
1400000US06037191420,6037191420,2021,972,1526,1597.9366
1400000US06037191500,6037191500,2021,1442,1375,1439.8185
1400000US06037191610,6037191610,2021,1226,1566,1639.8224
1400000US06037191620,6037191620,2021,957,1355,1418.8756
1400000US06037191710,6037191710,2021,1132,1114,1166.5148
1400000US06037191720,6037191720,2021,1275,1184,1239.8146
1400000US06037191810,6037191810,2021,1174,1594,1669.1423
1400000US06037191820,6037191820,2021,1692,1893,1982.2373
